level,subset,word,definition
Level 1,A,alley,a narrow passageway or street
Level 1,A,appetite,desire to eat
Level 1,A,boast,brag; say great things about yourself
Level 1,A,cattle,"a general name for ""cows"""
Level 1,A,drudgery,"hard, uninteresting labor"
Level 1,A,dull,"boring, not exciting; not bright or sharp"
Level 1,A,entirely,on the whole
Level 1,A,gigantic,"huge, large, enormous"
Level 1,A,goofy,"funny, silly"
Level 1,A,hatch,break out of an egg
Level 1,A,naked,without covering or clothing
Level 1,A,outraged,"upset, very mad"
Level 1,A,outskirts,"the suburbs, area around a city"
Level 1,A,peddler,someone who sells things
Level 1,A,portion,small part or section
Level 1,A,roam,"wander, walk around without direction"
Level 1,A,slim,skinny; thin
Level 1,A,struggle,have difficulty doing something; fight
Level 1,A,swell,"get bigger, enlarge"
Level 1,A,upgrade,improve the quality of something
Level 1,B,affiliate,associate as a member
Level 1,B,analgesic,something used to reduce pain
Level 1,B,apiece,"each, individually"
Level 1,B,compensation,"payment for service, loss or expense"
Level 1,B,concoct,create by combining various ingredients
Level 1,B,confess,admit to wrongdoing
Level 1,B,crummy,"lousy, miserable, or worthless"
Level 1,B,curiosity,desire to know; inquisitive interest
Level 1,B,exile,forced removal from one's country
Level 1,B,fatal,causing death
Level 1,B,fugitive,"one who tries to escape, runaway"
Level 1,B,hemorrhage,excessive bleeding
Level 1,B,incident,an occurrence or even; happening
Level 1,B,juvenile,"young, immature, youthful"
Level 1,B,legitimate,"lawful, conforming to accepted standards"
Level 1,B,listless,lacking energy or spirit
Level 1,B,negligent,failing to give proper care or attention
Level 1,B,psychiatry,branch of medicine dealing with mental disorders
Level 1,B,qualm,"feeling of uneasiness, doubt or fear"
Level 1,B,sober,not drunk; serious
Level 1,C,alarm,a device that sounds a warning
Level 1,C,alphabet,a set of English letters
Level 1,C,blame,to accuse someone or wrongdoing
Level 1,C,blank,"empty, without any marks"
Level 1,C,bounce,to spring or leap like a ball
Level 1,C,burglar,one who breaks into a building and steals
Level 1,C,compassion,feeling of sympathy towards another person
Level 1,C,credentials,qualifications or background
Level 1,C,detect,to discover the existence of something
Level 1,C,expert,a person with a high degree of knowledge or skill
Level 1,C,finesse,ability to handle difficult situations well
Level 1,C,frighten,to make someone scared or afraid
Level 1,C,glimpse,a brief look; an indication
Level 1,C,inquiry,the act or process of questioning
Level 1,C,interfere,to get in the way; prevent someone from doing a task
Level 1,C,outstanding,"distinguished, excellent"
Level 1,C,ramble,to talk on an on without saying much
Level 1,C,rough,having a bumpy surface; not smooth
Level 1,C,tap,to strike or hit gently
Level 1,C,widespread,covering a large area
Level 2,A,alternative,"choice, selection, option"
Level 2,A,consumer,person who buys things
Level 2,A,discrimination,"treating people unfairly because of race, gender, etc."
Level 2,A,earn,get money through working
Level 2,A,encourage,"give help, support or confidence"
Level 2,A,ignore,don't pay attention
Level 2,A,illusion,"false idea, dream"
Level 2,A,immigrant,person who comes into a country to live
Level 2,A,irrelevant,not related or applicable
Level 2,A,lonely,without needed companionship
Level 2,A,observe,"perceive thorough the senses, see"
Level 2,A,own,possess
Level 2,A,participation,"taking part, getting involved in a group activity"
Level 2,A,poverty,condition of being poor
Level 2,A,practical,useful and realistic
Level 2,A,rise,"go up, get higher"
Level 2,A,skill,"ability, talent"
Level 2,A,vocational,pertaining to a specific job
Level 2,A,volunteer,person who gives service without pay
