level,subset,word,separable,definition
Level 1,A,catch up,no,reach the same point as something ahead of you
Level 1,A,ask for,no,"request, seek information"
Level 1,A,break down,yes,"1) stop functioning, collapse  2) reduce to parts"
Level 1,A,break up (with),no,terminate or discontinue a romantic relationship
Level 1,A,bring up,yes,raise an issue
Level 1,A,call off,yes,cancel
Level 1,A,call up,yes,telephone
Level 1,A,check in,no,register
Level 1,A,clean up,yes,tidy up an mess
Level 1,A,come back,no,return to this place
Level 1,A,cool down,yes,become less stressed
Level 1,A,cut off,yes,terminate or stop
Level 1,A,do over,yes,redo
Level 1,A,drop by,no,stop for a short visit
Level 1,A,eat out,no,go out for a meal
Level 1,A,fall down,no,"collapse, drop from a higher to a lower position"
Level 1,A,fill up,yes,make full
Level 1,A,find out,yes,discover
Level 1,A,get back (from),no,return from
Level 1,A,get over,no,recover
Level 1,B,get up,no,arise from bed
Level 1,B,grow up,no,become mature
Level 1,B,hang up,yes,suspend
Level 1,B,hurry up,no,increase speed
Level 1,B,keep on,no,continue
Level 1,B,keep out of,no,stay out
Level 1,B,leave out,yes,omit
Level 1,B,line up,no,form a queue
Level 1,B,listen to,no,pay attention to words or sounds
Level 1,B,look at,no,focus on something visually
Level 1,B,make up,yes,fabricate
Level 1,B,open up,yes,open to allow greater entry
Level 1,B,pass away,no,die
Level 1,B,pick up,yes,1) lift  2) meet and get someone at a specific place
Level 1,B,put on,yes,place clothing on the body
Level 1,B,put up with,no,tolerate or allow
Level 1,B,read over,yes,peruse or skim
Level 1,B,run into,no,meet by surprise
Level 1,B,see through,no,visualize through something transparent
Level 1,B,set up,yes,1) arrange  2) entrap
Level 1,C,show up,no,"arrive, be in attendance"
Level 1,C,sit down,no,be seated
Level 1,C,slow down,yes,reduce the speed
Level 1,C,speak up,no,talk more loudly
Level 1,C,stand for,no,represent
Level 1,C,take away,yes,"subtract, remove"
Level 1,C,stand up,no,arise from a seated position
Level 1,C,take care of,no,accept responsibility for
Level 1,C,talk over,yes,discuss deeply
Level 1,C,think over,yes,"ponder, consider"
Level 1,C,take off,yes,1) leave  2) remove clothing
Level 1,C,throw away,yes,"discard, put in the trash"
Level 1,C,try on,yes,put on clothing to see if it fits
Level 1,C,turn off,yes,stop a machine or something electric
Level 1,C,turn on,yes,start a machine or something electric
Level 1,C,wake up,yes,awake from sleep
Level 1,C,work out,no,1) exercise physically  2) find a result or solution
Level 1,C,wrap up,yes,cover a package as a gift
Level 1,C,write down,yes,record by writing
Level 1,C,give up,yes,"quit, stop doing something"
Level 2,A,beat up,yes,"assault severely, attack violently, hit"
Level 2,A,break in,yes,make something comfortable in a new situation
Level 2,A,break out (of),no,"escape, emerge from a confined area"
Level 2,A,bring out,yes,reveal; cause to emerge or appear
Level 2,A,call back,yes,return a phone call
Level 2,A,care for,no,"1) take responsibility for 2) prefer, like"
Level 2,A,cheer up,yes,make someone feel better
Level 2,A,clean out,yes,remove contents completely
Level 2,A,clear up,yes,clarify an ambiguour issue
Level 2,A,come out,no,appear or emerge from hiding
Level 2,A,cut down (on),no,reduce the intake of food
Level 2,A,deal with,no,handle a situation
Level 2,A,do without,no,sacrifice or give something up
Level 2,A,eat up,yes,consume completely
Level 2,A,fill in,yes,put information in a blank or space
Level 2,A,fill out,yes,complete a written form
Level 2,A,finish up,yes,complete everything
Level 2,A,get in,no,enter a car
Level 2,A,get off,no,"exit a bus, train"
Level 2,A,get on,no,"enter a bus, train"
Level 2,B,get out (of),no,1) exit a car 2) gain from something
Level 2,B,give back,yes,return something
Level 2,B,hand in,yes,submit
Level 2,B,hand out,yes,distribute
Level 2,B,hold on (to),no,1) grasp 2) endure
Level 2,B,keep up (with),no,maintain the same speed as another
Level 2,B,know about,no,"understand, have knowledge of"
Level 2,B,lay down,yes,set something in a lower place
Level 2,B,look up,yes,search for
Level 2,B,look out (for),no,be cautious
Level 2,B,move out,no,leave one's place of residence
Level 2,B,pass by,yes,move past without noticing
Level 2,B,plan on,no,expect
Level 2,B,point out,yes,"designate, bring to someone's attention"
Level 2,B,put away,yes,place in the proper location
Level 2,B,roll up,yes,rotate into a coil
Level 2,B,run away,no,"escape, depart secretly"
Level 2,B,sell out,yes,sell entirely
Level 2,B,set aside,yes,temporarily ignore
Level 2,B,show off,yes,display to impress others
Level 2,C,shut down,yes,close completely
